@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcAddr,srcPort,dstAddr,dstPort
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173143,2022-03-01 22:19:03.000,34,10.0.1.104,39895,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173144,2022-03-01 22:19:04.000,33,10.0.1.104,39896,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173145,2022-03-01 22:19:05.000,-30,10.0.1.104,39897,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173146,2022-03-01 22:19:06.000,-31,10.0.1.104,39898,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173147,2022-03-01 22:19:07.000,30,10.0.1.104,39899,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173148,2022-03-01 22:19:08.000,-33,10.0.1.104,39900,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173149,2022-03-01 22:19:09.000,-34,10.0.1.104,39901,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173150,2022-03-01 22:19:10.000,-35,10.0.1.104,39902,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173151,2022-03-01 22:19:11.000,-36,10.0.1.104,39903,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173152,2022-03-01 22:19:12.000,25,10.0.1.104,39904,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173153,2022-03-01 22:19:13.000,24,10.0.1.104,39905,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173154,2022-03-01 22:19:14.000,-39,10.0.1.104,39906,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173155,2022-03-01 22:19:15.000,22,10.0.1.104,39907,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173156,2022-03-01 22:19:16.000,-41,10.0.1.104,39908,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173157,2022-03-01 22:19:17.000,20,10.0.1.104,39909,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173158,2022-03-01 22:19:18.000,-43,10.0.1.104,39910,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173159,2022-03-01 22:19:19.000,18,10.0.1.104,39911,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173160,2022-03-01 22:19:20.000,17,10.0.1.104,39912,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173161,2022-03-01 22:19:21.000,16,10.0.1.104,39913,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173162,2022-03-01 22:19:22.000,15,10.0.1.104,39914,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173163,2022-03-01 22:19:23.000,14,10.0.1.104,39915,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173164,2022-03-01 22:19:24.000,-49,10.0.1.104,39916,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173165,2022-03-01 22:19:25.000,12,10.0.1.104,39917,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173166,2022-03-01 22:19:26.000,11,10.0.1.104,39918,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173167,2022-03-01 22:19:27.000,-52,10.0.1.104,39919,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173168,2022-03-01 22:19:28.000,9,10.0.1.104,39920,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173169,2022-03-01 22:19:29.000,8,10.0.1.104,39921,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173170,2022-03-01 22:19:30.000,-55,10.0.1.104,39922,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173171,2022-03-01 22:19:31.000,6,10.0.1.104,39923,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173172,2022-03-01 22:19:32.000,5,10.0.1.104,39924,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173173,2022-03-01 22:19:33.000,4,10.0.1.104,39925,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173174,2022-03-01 22:19:34.000,3,10.0.1.104,39926,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173175,2022-03-01 22:19:35.000,2,10.0.1.104,39927,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173176,2022-03-01 22:19:36.000,1,10.0.1.104,39928,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173177,2022-03-01 22:19:37.000,0,10.0.1.104,39929,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173178,2022-03-01 22:19:38.000,-1,10.0.1.104,39930,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173179,2022-03-01 22:19:39.000,-2,10.0.1.104,39931,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173180,2022-03-01 22:19:40.000,-3,10.0.1.104,39932,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173181,2022-03-01 22:19:41.000,-4,10.0.1.104,39933,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173182,2022-03-01 22:19:42.000,-5,10.0.1.104,39934,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173183,2022-03-01 22:19:43.000,-6,10.0.1.104,39935,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173184,2022-03-01 22:19:44.000,-7,10.0.1.104,39936,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173185,2022-03-01 22:19:45.000,-8,10.0.1.104,39937,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173186,2022-03-01 22:19:46.000,-9,10.0.1.104,39938,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173187,2022-03-01 22:19:47.000,-10,10.0.1.104,39939,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173188,2022-03-01 22:19:48.000,-11,10.0.1.104,39940,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173189,2022-03-01 22:19:49.000,48,10.0.1.104,39941,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173190,2022-03-01 22:19:50.000,-13,10.0.1.104,39942,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173191,2022-03-01 22:19:51.000,-14,10.0.1.104,39943,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173192,2022-03-01 22:19:52.000,-15,10.0.1.104,39944,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173193,2022-03-01 22:19:53.000,-16,10.0.1.104,39945,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173194,2022-03-01 22:19:54.000,-17,10.0.1.104,39946,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173195,2022-03-01 22:19:55.000,-18,10.0.1.104,39947,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173196,2022-03-01 22:19:56.000,-19,10.0.1.104,39948,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173197,2022-03-01 22:19:57.000,-20,10.0.1.104,39949,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173198,2022-03-01 22:19:58.000,-21,10.0.1.104,39950,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173199,2022-03-01 22:19:59.000,-22,10.0.1.104,39951,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173200,2022-03-01 22:20:00.000,-23,10.0.1.104,39952,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173201,2022-03-01 22:20:01.000,-24,10.0.1.104,39953,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173202,2022-03-01 22:20:02.000,-25,10.0.1.104,39954,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173203,2022-03-01 22:20:03.000,-26,10.0.1.104,39955,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173204,2022-03-01 22:20:04.000,33,10.0.1.104,39956,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173205,2022-03-01 22:20:05.000,-28,10.0.1.104,39957,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173207,2022-03-01 22:20:07.000,30,10.0.1.104,39959,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173208,2022-03-01 22:20:08.000,-31,10.0.1.104,39960,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173209,2022-03-01 22:20:09.000,-32,10.0.1.104,39961,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173210,2022-03-01 22:20:10.000,27,10.0.1.104,39962,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173211,2022-03-01 22:20:11.000,26,10.0.1.104,39963,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173212,2022-03-01 22:20:12.000,-35,10.0.1.104,39964,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173213,2022-03-01 22:20:13.000,24,10.0.1.104,39965,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173214,2022-03-01 22:20:14.000,23,10.0.1.104,39966,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173215,2022-03-01 22:20:15.000,-38,10.0.1.104,39967,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173216,2022-03-01 22:20:16.000,21,10.0.1.104,39968,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173217,2022-03-01 22:20:17.000,-40,10.0.1.104,39969,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173218,2022-03-01 22:20:18.000,19,10.0.1.104,39970,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173219,2022-03-01 22:20:19.000,18,10.0.1.104,39971,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173220,2022-03-01 22:20:20.000,17,10.0.1.104,39972,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173221,2022-03-01 22:20:21.000,-44,10.0.1.104,39973,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173222,2022-03-01 22:20:22.000,15,10.0.1.104,39974,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173223,2022-03-01 22:20:23.000,14,10.0.1.104,39975,18.209.225.131,7777
