@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcPort
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335864,2022-03-03 19:31:04.000,-22,6008
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335865,2022-03-03 19:31:05.000,-23,6009
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335866,2022-03-03 19:31:06.000,-24,6010
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335867,2022-03-03 19:31:07.000,-25,6011
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335868,2022-03-03 19:31:08.000,-26,6012
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335869,2022-03-03 19:31:09.000,-27,6013
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335870,2022-03-03 19:31:10.000,-28,6014
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335871,2022-03-03 19:31:11.000,-29,6015
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335872,2022-03-03 19:31:12.000,-30,6016
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335873,2022-03-03 19:31:13.000,-31,6017
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335874,2022-03-03 19:31:14.000,-32,6018
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335875,2022-03-03 19:31:15.000,-33,6019
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335876,2022-03-03 19:31:16.000,-34,6020
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335877,2022-03-03 19:31:17.000,-35,6021
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335878,2022-03-03 19:31:18.000,-36,6022
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335879,2022-03-03 19:31:19.000,-37,6023
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335880,2022-03-03 19:31:20.000,-38,6024
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335881,2022-03-03 19:31:21.000,-39,6025
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335882,2022-03-03 19:31:22.000,-40,6026
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335883,2022-03-03 19:31:23.000,-41,6027
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335884,2022-03-03 19:31:24.000,-42,6028
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335885,2022-03-03 19:31:25.000,-43,6029
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335886,2022-03-03 19:31:26.000,-44,6030
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335887,2022-03-03 19:31:27.000,-45,6031
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335888,2022-03-03 19:31:28.000,-46,6032
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335889,2022-03-03 19:31:29.000,-47,6033
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335890,2022-03-03 19:31:30.000,-48,6034
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335891,2022-03-03 19:31:31.000,-49,6035
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335892,2022-03-03 19:31:32.000,-50,6036
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335893,2022-03-03 19:31:33.000,-51,6037
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335894,2022-03-03 19:31:34.000,-52,6038
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335895,2022-03-03 19:31:35.000,-53,6039
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335896,2022-03-03 19:31:36.000,-54,6040
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335897,2022-03-03 19:31:37.000,-55,6041
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335898,2022-03-03 19:31:38.000,-56,6042
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335899,2022-03-03 19:31:39.000,-57,6043
2022-03-03 19:33:04.899,2022-03-03 19:30:42.000,142.899,2.3817,1646335842,1646335900,2022-03-03 19:31:40.000,-58,6044
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335901,2022-03-03 19:31:41.000,1,6045
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335902,2022-03-03 19:31:42.000,0,6046
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335903,2022-03-03 19:31:43.000,-1,6047
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335904,2022-03-03 19:31:44.000,-2,6048
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335906,2022-03-03 19:31:46.000,-4,6050
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335907,2022-03-03 19:31:47.000,-5,6051
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335908,2022-03-03 19:31:48.000,-6,6052
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335909,2022-03-03 19:31:49.000,-7,6053
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335910,2022-03-03 19:31:50.000,-8,6054
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335911,2022-03-03 19:31:51.000,-9,6055
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335912,2022-03-03 19:31:52.000,-10,6056
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335913,2022-03-03 19:31:53.000,-11,6057
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335914,2022-03-03 19:31:54.000,-12,6058
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335915,2022-03-03 19:31:55.000,-13,6059
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335916,2022-03-03 19:31:56.000,-14,6060
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335917,2022-03-03 19:31:57.000,-15,6061
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335918,2022-03-03 19:31:58.000,-16,6062
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335919,2022-03-03 19:31:59.000,-17,6063
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335920,2022-03-03 19:32:00.000,-18,6064
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335921,2022-03-03 19:32:01.000,-19,6065
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335922,2022-03-03 19:32:02.000,-20,6066
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335923,2022-03-03 19:32:03.000,-21,6067
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335924,2022-03-03 19:32:04.000,-22,6068
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335925,2022-03-03 19:32:05.000,-23,6069
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335926,2022-03-03 19:32:06.000,-24,6070
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335927,2022-03-03 19:32:07.000,-25,6071
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335928,2022-03-03 19:32:08.000,-26,6072
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335929,2022-03-03 19:32:09.000,-27,6073
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335930,2022-03-03 19:32:10.000,-28,6074
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335931,2022-03-03 19:32:11.000,-29,6075
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335932,2022-03-03 19:32:12.000,-30,6076
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335933,2022-03-03 19:32:13.000,-31,6077
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335934,2022-03-03 19:32:14.000,-32,6078
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335935,2022-03-03 19:32:15.000,-33,6079
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335936,2022-03-03 19:32:16.000,-34,6080
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335937,2022-03-03 19:32:17.000,-35,6081
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335938,2022-03-03 19:32:18.000,-36,6082
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335939,2022-03-03 19:32:19.000,-37,6083
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335940,2022-03-03 19:32:20.000,-38,6084
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335941,2022-03-03 19:32:21.000,-39,6085
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335942,2022-03-03 19:32:22.000,-40,6086
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335943,2022-03-03 19:32:23.000,-41,6087
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335944,2022-03-03 19:32:24.000,-42,6088
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335945,2022-03-03 19:32:25.000,-43,6089
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335946,2022-03-03 19:32:26.000,-44,6090
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335947,2022-03-03 19:32:27.000,-45,6091
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335948,2022-03-03 19:32:28.000,-46,6092
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335949,2022-03-03 19:32:29.000,-47,6093
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335950,2022-03-03 19:32:30.000,-48,6094
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335951,2022-03-03 19:32:31.000,-49,6095
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335952,2022-03-03 19:32:32.000,-50,6096
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335953,2022-03-03 19:32:33.000,-51,6097
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335954,2022-03-03 19:32:34.000,-52,6098
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335955,2022-03-03 19:32:35.000,-53,6099
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335956,2022-03-03 19:32:36.000,-54,6100
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335957,2022-03-03 19:32:37.000,-55,6101
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335958,2022-03-03 19:32:38.000,-56,6102
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335959,2022-03-03 19:32:39.000,-57,6103
2022-03-03 19:33:04.899,2022-03-03 19:31:42.000,82.899,1.3817,1646335902,1646335960,2022-03-03 19:32:40.000,-58,6104
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335961,2022-03-03 19:32:41.000,1,6105
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335962,2022-03-03 19:32:42.000,0,6106
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335963,2022-03-03 19:32:43.000,-1,6107
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335964,2022-03-03 19:32:44.000,-2,6108
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335965,2022-03-03 19:32:45.000,-3,6109
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335966,2022-03-03 19:32:46.000,-4,6110
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335967,2022-03-03 19:32:47.000,-5,6111
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335968,2022-03-03 19:32:48.000,-6,6112
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335969,2022-03-03 19:32:49.000,-7,6113
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335970,2022-03-03 19:32:50.000,-8,6114
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335971,2022-03-03 19:32:51.000,-9,6115
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335972,2022-03-03 19:32:52.000,-10,6116
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335973,2022-03-03 19:32:53.000,-11,6117
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335974,2022-03-03 19:32:54.000,-12,6118
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335975,2022-03-03 19:32:55.000,-13,6119
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335976,2022-03-03 19:32:56.000,-14,6120
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335977,2022-03-03 19:32:57.000,-15,6121
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335978,2022-03-03 19:32:58.000,-16,6122
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335979,2022-03-03 19:32:59.000,-17,6123
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335980,2022-03-03 19:33:00.000,-18,6124
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335981,2022-03-03 19:33:01.000,-19,6125
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335982,2022-03-03 19:33:02.000,-20,6126
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335983,2022-03-03 19:33:03.000,-21,6127
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335984,2022-03-03 19:33:04.000,-22,6128
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335985,2022-03-03 19:33:05.000,-23,6129
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335986,2022-03-03 19:33:06.000,-24,6130
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335987,2022-03-03 19:33:07.000,-25,6131
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335988,2022-03-03 19:33:08.000,-26,6132
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335989,2022-03-03 19:33:09.000,-27,6133
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335990,2022-03-03 19:33:10.000,-28,6134
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335991,2022-03-03 19:33:11.000,-29,6135
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335992,2022-03-03 19:33:12.000,-30,6136
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335993,2022-03-03 19:33:13.000,-31,6137
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335994,2022-03-03 19:33:14.000,-32,6138
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335995,2022-03-03 19:33:15.000,-33,6139
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335996,2022-03-03 19:33:16.000,-34,6140
2022-03-03 19:43:04.861,2022-03-03 19:32:42.000,622.861,10.381,1646335962,1646335997,2022-03-03 19:33:17.000,-35,6141
